City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Stavyshche,UA,2020-02-20 16:57:48,50.4,29.53,42.01,90,75,2.24
70,Trinidad,BO,2020-02-20 16:57:49,-14.83,-64.9,87.8,74,75,9.17
71,Severo-Kurilsk,RU,2020-02-20 16:57:49,50.68,156.12,18.39,92,99,19.93
72,Bredasdorp,ZA,2020-02-20 16:57:50,-34.53,20.04,73.4,53,4,12.75
73,Grindavik,IS,2020-02-20 16:57:50,63.84,-22.43,33.8,74,75,20.8
74,Kaitangata,NZ,2020-02-20 16:57:51,-46.28,169.85,60.01,91,100,1.99
75,Wanning,CN,2020-02-20 16:57:51,18.8,110.4,68.49,84,34,9.46
76,Hilo,US,2020-02-20 16:57:52,19.73,-155.09,70.0,77,75,6.93
77,Khatanga,RU,2020-02-20 16:57:52,71.97,102.5,0.91,84,94,6.96
78,Ushuaia,AR,2020-02-20 16:57:03,-54.8,-68.3,53.6,50,85,10.29
79,Anadyr,RU,2020-02-20 16:57:53,64.75,177.48,-20.0,68,0,6.71
80,Osoyoos,CA,2020-02-20 16:57:54,49.03,-119.45,28.99,85,5,3.36
81,Ilulissat,GL,2020-02-20 16:57:54,69.22,-51.1,1.4,64,40,10.29
82,Malatya,TR,2020-02-20 16:57:55,38.5,38.0,39.2,86,75,4.7
83,Talnakh,RU,2020-02-20 16:57:55,69.49,88.4,15.8,92,75,8.95
84,Jamestown,US,2020-02-20 16:54:59,42.1,-79.24,24.8,57,75,12.75
85,Suez,EG,2020-02-20 16:57:56,29.97,32.53,60.03,44,0,2.82
86,Ahipara,NZ,2020-02-20 16:57:57,-35.17,173.17,62.01,100,98,7.83
87,Moranbah,AU,2020-02-20 16:57:57,-22.0,148.05,78.96,74,0,2.37
88,Charters Towers,AU,2020-02-20 16:57:57,-20.1,146.27,77.09,87,59,5.12
89,Mount Gambier,AU,2020-02-20 16:57:58,-37.83,140.77,53.6,87,40,4.7
90,Lasa,IT,2020-02-20 16:57:59,46.62,10.7,55.4,50,20,11.41
91,Caborca,MX,2020-02-20 16:57:59,30.58,-111.1,71.91,21,0,4.23
92,Hualmay,PE,2020-02-20 16:58:00,-11.1,-77.61,81.03,60,100,10.71
93,Kolvereid,NO,2020-02-20 16:58:00,64.87,11.6,39.2,64,75,12.75
94,Jumla,NP,2020-02-20 16:58:01,29.27,82.18,31.77,73,17,5.21
95,Sao Filipe,CV,2020-02-20 16:58:02,14.9,-24.5,72.5,70,5,16.11
96,Saint George,US,2020-02-20 16:58:03,37.1,-113.58,43.0,24,1,11.41
97,Sao Joao Da Barra,BR,2020-02-20 16:58:03,-21.64,-41.05,91.4,49,20,9.17
98,Zyryanka,RU,2020-02-20 16:58:04,65.75,150.85,-21.51,90,26,9.37
99,Mumford,GH,2020-02-20 16:58:04,5.26,-0.76,83.3,72,55,9.93
100,Port Lincoln,AU,2020-02-20 16:58:05,-34.73,135.87,60.73,73,94,14.92
101,Sitka,US,2020-02-20 16:58:05,57.05,-135.33,39.2,94,90,17.22
102,Opuwo,NA,2020-02-20 16:58:06,-18.06,13.84,77.11,22,93,10.29
103,Codrington,AU,2020-02-20 16:58:06,-38.27,141.97,59.36,75,49,15.21
104,Ribeira Grande,PT,2020-02-20 16:58:07,38.52,-28.7,59.0,58,20,8.05
105,Smithers,CA,2020-02-20 16:58:07,54.78,-127.17,14.0,92,20,3.47
106,Kolda,SN,2020-02-20 16:58:08,12.88,-14.95,102.79,5,80,4.23
107,Almazar,UZ,2020-02-20 16:58:08,40.32,69.01,41.0,47,0,11.18
108,Strezhevoy,RU,2020-02-20 16:58:09,60.73,77.59,30.2,92,40,6.71
109,Stokmarknes,NO,2020-02-20 16:58:09,68.56,14.91,35.6,55,100,20.8
110,Pimpri,IN,2020-02-20 16:58:10,18.62,73.8,73.78,43,3,7.07
111,Mar Del Plata,AR,2020-02-20 16:57:07,-38.0,-57.56,66.0,55,40,16.11
112,Cherskiy,RU,2020-02-20 16:58:11,68.75,161.3,-16.31,97,97,6.93
113,Richards Bay,ZA,2020-02-20 16:58:12,-28.78,32.04,80.15,86,44,11.36
114,Abapo,BO,2020-02-20 16:58:12,-18.83,-63.47,74.66,90,100,4.88
115,Sillamae,EE,2020-02-20 16:58:12,59.4,27.75,35.74,89,98,7.09
116,Tiksi,RU,2020-02-20 16:58:13,71.69,128.87,-1.34,85,100,13.29
117,Zeya,RU,2020-02-20 16:58:13,53.75,127.27,-14.12,84,0,2.8
118,Chokurdakh,RU,2020-02-20 16:58:14,70.63,147.92,-13.31,95,92,4.92
119,Aklavik,CA,2020-02-20 16:56:02,68.22,-135.01,5.0,84,40,4.7
120,Shingu,JP,2020-02-20 16:58:15,33.73,135.98,47.16,65,0,6.51
121,Tefe,BR,2020-02-20 16:53:31,-3.35,-64.71,86.0,74,75,8.05
122,Souillac,MU,2020-02-20 16:58:17,-20.52,57.52,78.8,78,20,3.36
123,Phan Thiet,VN,2020-02-20 16:58:17,10.93,108.1,64.85,82,0,4.85
124,Hambantota,LK,2020-02-20 16:58:18,6.12,81.12,80.6,80,0,24.16
125,Tokur,RU,2020-02-20 16:58:18,53.13,132.9,-14.75,99,100,1.74
126,Kieta,PG,2020-02-20 16:58:19,-6.22,155.63,80.92,75,99,4.38
127,Dikson,RU,2020-02-20 16:58:19,73.51,80.55,-0.17,99,93,13.33
128,Barabai,ID,2020-02-20 16:58:20,-2.58,115.38,74.14,92,100,1.36
129,Kaduna,NG,2020-02-20 16:58:21,10.52,7.44,85.73,14,0,9.82
130,Olinda,BR,2020-02-20 16:58:21,-8.01,-34.86,86.0,66,75,5.82
131,Kavieng,PG,2020-02-20 16:58:22,-2.57,150.8,82.99,76,75,10.78
132,Gwadar,PK,2020-02-20 16:58:22,25.12,62.33,73.74,64,30,9.1
133,Havoysund,NO,2020-02-20 16:58:22,71.0,24.66,21.2,73,100,20.8
134,Avarua,CK,2020-02-20 16:58:23,-21.21,-159.78,77.0,94,100,8.05
135,Dunedin,NZ,2020-02-20 16:58:23,-45.87,170.5,60.01,94,100,1.01
136,Batagay-Alyta,RU,2020-02-20 16:58:24,67.8,130.41,-2.02,82,100,6.13
137,Yellowknife,CA,2020-02-20 16:55:03,62.46,-114.35,27.0,73,20,11.41
138,Dilla,ET,2020-02-20 16:58:25,6.41,38.31,58.28,67,100,5.46
139,Port Elizabeth,ZA,2020-02-20 16:58:25,-33.92,25.57,73.4,83,75,16.11
140,Maceio,BR,2020-02-20 16:58:26,-9.67,-35.74,73.4,94,75,5.82
141,Vidim,RU,2020-02-20 16:58:26,56.41,103.11,18.46,94,100,8.52
142,Hobart,AU,2020-02-20 16:58:27,-42.88,147.33,53.6,62,75,5.82
143,Leningradskiy,RU,2020-02-20 16:58:27,69.38,178.42,-7.11,93,100,18.86
144,Vao,NC,2020-02-20 16:58:28,-22.67,167.48,78.89,74,0,8.63
145,Porto Novo,BJ,2020-02-20 16:58:28,6.5,2.6,89.6,70,40,12.75
146,Naryan-Mar,RU,2020-02-20 16:58:29,67.67,53.09,8.96,86,5,9.19
147,Alenquer,BR,2020-02-20 16:56:16,-1.94,-54.74,78.8,88,90,2.24
148,Narsaq,GL,2020-02-20 16:58:31,60.92,-46.05,28.4,36,75,28.86
149,Kushima,JP,2020-02-20 16:58:31,31.46,131.23,42.89,87,0,2.53
150,Victoria,HK,2020-02-20 16:55:19,22.29,114.16,64.4,68,0,12.75
151,Eura,FI,2020-02-20 16:58:32,61.13,22.08,33.01,86,100,10.29
152,Agadir,MA,2020-02-20 16:58:33,30.42,-9.6,69.8,60,20,16.11
153,Wajir,KE,2020-02-20 16:58:33,1.75,40.06,95.05,28,88,8.16
154,Nurota,UZ,2020-02-20 16:58:34,40.56,65.69,44.6,65,99,4.7
155,Saint-Augustin,CA,2020-02-20 16:58:34,51.23,-58.65,-5.62,73,2,20.47
156,Bunia,CD,2020-02-20 16:53:43,1.57,30.25,78.28,63,21,4.18
157,Manadhoo,MV,2020-02-20 16:58:35,5.77,73.38,81.32,75,6,15.5
158,Yangambi,CD,2020-02-20 16:58:36,0.81,24.43,78.3,69,76,3.29
159,Matay,EG,2020-02-20 16:58:36,28.42,30.78,52.25,49,0,2.28
160,Bom Jardim,BR,2020-02-20 16:58:36,-7.8,-35.59,82.4,61,75,10.29
161,Vallenar,CL,2020-02-20 16:58:37,-28.57,-70.76,71.62,54,2,12.35
162,Golden,US,2020-02-20 16:58:37,39.76,-105.22,25.0,57,1,5.1
163,Emirdag,TR,2020-02-20 16:58:38,39.02,31.15,39.6,88,87,3.13
164,Pahrump,US,2020-02-20 16:56:08,36.21,-115.98,52.0,25,0,4.74
165,Rocha,UY,2020-02-20 16:58:26,-34.48,-54.33,68.79,42,0,21.43
166,Canavieiras,BR,2020-02-20 16:58:40,-15.68,-38.95,87.8,74,40,8.05
167,Margate,GB,2020-02-20 16:58:41,51.38,1.39,45.0,87,20,10.29
168,Coihaique,CL,2020-02-20 16:58:41,-45.58,-72.07,60.8,54,0,9.17
169,Moerai,PF,2020-02-20 16:58:42,-22.43,-151.33,81.23,81,100,16.08
170,Batagay,RU,2020-02-20 16:58:42,67.63,134.63,-13.65,84,100,4.74
